2017-09-11 12:01:15,527 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
2017-09-11 12:01:15,531 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-24
2017-09-11 12:01:16,061 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-50407-1505102469244-0:1) uptime 7.215 seconds | org.apache.activemq.broker.BrokerService | Thread-24
2017-09-11 12:01:16,063 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-50407-1505102469244-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-24
2017-09-11 12:01:16,065 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@1e88b3c: startup date [Mon Sep 11 12:01:07 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-24
2017-09-11 12:01:16,105 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-24
2017-09-11 12:01:16,111 | INFO  | Destroying hawtio authentication filter | io.hawt.web.AuthenticationFilter | Thread-24
2017-09-11 12:01:28,288 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1e88b3c: startup date [Mon Sep 11 12:01:28 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-09-11 12:01:28,831 | INFO  | PListStore:[G:\app_server\apache-activemq-5.9.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-09-11 12:01:28,845 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[G:\app_server\apache-activemq-5.9.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-09-11 12:01:29,255 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-11 12:01:29,282 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-11 12:01:29,303 | INFO  | Recovery replayed 681 operations from the journal in 0.038 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-11 12:01:29,459 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-50422-1505102489318-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-09-11 12:01:29,477 | INFO  | Listening for connections at: tcp://jameszhou-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-11 12:01:29,479 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-09-11 12:01:29,483 | INFO  | Listening for connections at: amqp://jameszhou-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-11 12:01:29,485 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-09-11 12:01:29,492 | INFO  | Listening for connections at: stomp://jameszhou-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-11 12:01:29,494 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-09-11 12:01:29,497 | INFO  | Listening for connections at: mqtt://jameszhou-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-11 12:01:29,499 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-09-11 12:01:29,608 | INFO  | Listening for connections at ws://jameszhou-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-09-11 12:01:29,609 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-09-11 12:01:29,610 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-50422-1505102489318-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-09-11 12:01:29,613 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-09-11 12:01:29,813 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2017-09-11 12:01:29,816 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
2017-09-11 12:01:29,853 | INFO  | Using file upload directory: G:\app_server\apache-activemq-5.9.0\bin\..\data\tmp\uploads | io.hawt.web.UploadServlet | main
2017-09-11 12:01:29,869 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | main
2017-09-11 12:01:29,997 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-09-11 12:01:30,019 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-09-11 12:54:23,305 | WARN  | Transport Connection to: tcp://127.0.0.1:52557 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52557@61616
2017-09-11 14:41:15,158 | WARN  | Transport Connection to: tcp://127.0.0.1:56163 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56163@61616
2017-09-19 16:29:36,098 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1e88b3c: startup date [Tue Sep 19 16:29:36 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-09-19 16:29:36,897 | INFO  | PListStore:[G:\app_server\apache-activemq-5.9.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-09-19 16:29:36,913 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[G:\app_server\apache-activemq-5.9.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-09-19 16:29:37,179 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-19 16:29:37,209 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-19 16:29:37,245 | INFO  | Recovery replayed 2438 operations from the journal in 0.058 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-09-19 16:29:37,396 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-60333-1505809777259-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-09-19 16:29:37,444 | INFO  | Listening for connections at: tcp://jameszhou-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-19 16:29:37,446 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-09-19 16:29:37,449 | INFO  | Listening for connections at: amqp://jameszhou-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-19 16:29:37,451 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-09-19 16:29:37,455 | INFO  | Listening for connections at: stomp://jameszhou-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-19 16:29:37,456 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-09-19 16:29:37,464 | INFO  | Listening for connections at: mqtt://jameszhou-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-19 16:29:37,465 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-09-19 16:29:37,620 | INFO  | Listening for connections at ws://jameszhou-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-09-19 16:29:37,621 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
